epoch,train_loss,val_loss,AUROC,PRC
1,0.0731,0.0537,0.7064,0.7338
2,0.0563,0.0523,0.7388,0.7329
3,0.0526,0.0476,0.7716,0.8012
4,0.0481,0.0469,0.7811,0.8056
5,0.0438,0.0464,0.7864,0.8120
6,0.0402,0.0466,0.7876,0.8149
7,0.0383,0.0456,0.7955,0.8175
8,0.0360,0.0476,0.7867,0.8047
9,0.0339,0.0447,0.8040,0.8257
10,0.0327,0.0487,0.7867,0.7963
11,0.0308,0.0519,0.7735,0.7860
12,0.0297,0.0495,0.7750,0.7821
13,0.0286,0.0503,0.7840,0.8003
14,0.0273,0.0526,0.7815,0.7890
15,0.0269,0.0493,0.7888,0.8055
16,0.0263,0.0516,0.7764,0.7863
17,0.0258,0.0478,0.7950,0.8136
18,0.0247,0.0481,0.7981,0.8158
19,0.0245,0.0490,0.7829,0.8007
20,0.0243,0.0515,0.7792,0.7977
21,0.0233,0.0495,0.7863,0.8038
22,0.0230,0.0532,0.7692,0.7869
23,0.0226,0.0540,0.7739,0.7890
24,0.0224,0.0527,0.7812,0.7982
25,0.0219,0.0515,0.7729,0.7753
