epoch,train_loss,val_loss,AUROC,PRC
1,0.0614,0.0465,0.7926,0.8115
2,0.0312,0.0442,0.8103,0.8334
3,0.0228,0.0430,0.8205,0.8394
4,0.0177,0.0422,0.8252,0.8431
5,0.0153,0.0423,0.8240,0.8400
6,0.0133,0.0415,0.8317,0.8485
7,0.0121,0.0423,0.8252,0.8421
8,0.0109,0.0418,0.8344,0.8489
9,0.0103,0.0413,0.8340,0.8517
10,0.0097,0.0411,0.8363,0.8514
11,0.0092,0.0405,0.8417,0.8584
12,0.0086,0.0415,0.8403,0.8521
13,0.0083,0.0416,0.8361,0.8504
14,0.0079,0.0411,0.8400,0.8566
15,0.0074,0.0417,0.8356,0.8496
16,0.0072,0.0414,0.8385,0.8485
17,0.0067,0.0414,0.8389,0.8496
18,0.0065,0.0418,0.8353,0.8504
